original_filename,suggested_filename,source_url,source_page,asset_type,alt_text,description,suggested_folder,quality_rating,recommendation,notes
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/3dbfe3dc-65bf-4f6e-9344-cc1477b5327e/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC06280.jpg,austin-tyler-team-portrait-with-camera-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7176f1cd-06ad-4c8b-90de-997b7ac808ec/DSC06280.jpg,"home,sereno",team/behind-scenes,"A young man with tattoos on his left arm, wearing a camouflage baseball cap backwards, black t-shirt, black pants, and black sneakers, stands on a concrete walkway holding a camera in his right hand. The background features concrete pillars and a sign that reads ""Shoot and Share on the Bridge"" with an arrow pointing to the right.","Austin/crew at work (portrait or filming). A young man with tattoos on his left arm, wearing a camouflage baseball cap backwards, black t-shirt, black pants, and black sneakers, stands on a concrete walkway holding a camera in his right hand. The background features concrete pillars and a sign that reads ""Shoot and Share on the Bridge"" with an arrow pointing to the right.",team-photos,8,KEEP,Austin/crew at work (portrait or filming).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7efe3af9-38c5-47ed-98d4-a0c245eb5d9b/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC04771-2.jpg,austin-tyler-gallery-home-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/bd856279-3dd4-4d37-8d98-84762c9a3e0f/DSC04771-2.jpg,"home,sereno",portfolio,"A male performer on stage holding a microphone, with dramatic lighting and spotlights creating rays of light in the background, in black and white.","Real portfolio photograph (live performance / portrait). A male performer on stage holding a microphone, with dramatic lighting and spotlights creating rays of light in the background, in black and white.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC01728-2.jpg,austin-tyler-gallery-home-02.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/c64fbfc6-8b1d-4467-afb7-445cd8fc9ca6/DSC01728-2.jpg,"home,sereno",portfolio,"A man playing an acoustic guitar and singing into a microphone on a stage, with an American flag in the background, in a black-and-white photo.","Real portfolio photograph (live performance / portrait). A man playing an acoustic guitar and singing into a microphone on a stage, with an American flag in the background, in a black-and-white photo.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC08494.jpg,austin-tyler-gallery-home-03.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/ac8bee28-af56-4735-9d81-bc2bafae45a2/DSC08494.jpg,"home,sereno",portfolio,"A male musician passionately singing and playing an acoustic guitar on stage with Nashville's Bluebird Cafe logo in the background, in black and white.","Real portfolio photograph (live performance / portrait). A male musician passionately singing and playing an acoustic guitar on stage with Nashville's Bluebird Cafe logo in the background, in black and white.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
bw+%283+of+15%29.jpg,austin-tyler-gallery-home-04.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e5dd79a0-4d40-47b6-8918-6a5cd23b70f8/bw+%283+of+15%29.jpg,"home,sereno",portfolio,"Black and white photo of a female musician singing into a microphone and playing an acoustic guitar, with a male musician in the background playing an electric bass guitar, illuminated by stage lights.","Real portfolio photograph (live performance / portrait). Black and white photo of a female musician singing into a microphone and playing an acoustic guitar, with a male musician in the background playing an electric bass guitar, illuminated by stage lights.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7950a381-02cd-41a3-864f-8c1b43402f46/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
%E2%80%98well+to+do%E2%80%99+2.png,austin-tyler-promo-cover-well-to-do-lindstrom-01.png,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/0b04e402-4ab3-43b3-b9c7-37d9c146ddbd/%E2%80%98well+to+do%E2%80%99+2.png,"home,sereno",promo-cover,"A young man stands confidently on a boat with a background of blue sky, bushes, and trees. The boat is on land, and the man is holding onto the boat's windshield frames. The text on the image reads, 'WELL TO DO' LINDSTROM.","Promotional single/cover artwork (artist release promo). A young man stands confidently on a boat with a background of blue sky, bushes, and trees. The boat is on land, and the man is holding onto the boat's windshield frames. The text on the image reads, 'WELL TO DO' LINDSTROM.",misc,8,KEEP,Promotional single/cover artwork (artist release promo).
IMG_6592.JPG,austin-tyler-promo-cover-drive-away-her-memory-anthony-gal-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/f2478bef-6b82-46f5-a4b0-7dce60ad575e/IMG_6592.JPG,"home,sereno",promo-cover,A man sitting in the back of a pickup truck's empty bed with trees in the background. Text at the top reads 'Drive Away Her Memory'. Text at the bottom reads 'Anthony Gal'.,Promotional single/cover artwork (artist release promo). A man sitting in the back of a pickup truck's empty bed with trees in the background. Text at the top reads 'Drive Away Her Memory'. Text at the bottom reads 'Anthony Gal'.,misc,8,KEEP,Promotional single/cover artwork (artist release promo).
IMG_0328.PNG,austin-tyler-promo-cover-wine-or-whiskey-01.png,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e54b32b8-97a6-404d-8852-e3d4ef37b5fa/IMG_0328.PNG,"home,sereno",promo-cover,"A man and woman standing with their backs to each other at a bar, with drinks in front of them, in a dimly lit setting, with the text ""Wine or Whiskey"" at the bottom.","Promotional single/cover artwork (artist release promo). A man and woman standing with their backs to each other at a bar, with drinks in front of them, in a dimly lit setting, with the text ""Wine or Whiskey"" at the bottom.",misc,8,KEEP,Promotional single/cover artwork (artist release promo).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e590a8e7-f774-4920-a826-ba17a49d7199/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC05611.jpg,austin-tyler-gallery-home-05.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/765cd5d5-3a68-4046-bc2d-e612d7bdbc72/DSC05611.jpg,"home,sereno",portfolio,"Person lying on the floor with their head resting on a large guitar, wearing a wide-brimmed hat, denim jacket, and jeans against a plain white background.","Real portfolio photograph (live performance / portrait). Person lying on the floor with their head resting on a large guitar, wearing a wide-brimmed hat, denim jacket, and jeans against a plain white background.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC05655.jpg,austin-tyler-gallery-home-06.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/2bc52b1b-c090-4d9b-8162-c6971646e508/DSC05655.jpg,"home,sereno",portfolio,A man in a cowboy hat and denim jacket playing an acoustic guitar against a plain white background.,Real portfolio photograph (live performance / portrait). A man in a cowboy hat and denim jacket playing an acoustic guitar against a plain white background.,gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC05474.jpg,austin-tyler-gallery-home-07.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e184e8f3-9003-4419-88af-8e62cf4baeb5/DSC05474.jpg,"home,sereno",portfolio,"A man wearing a black cowboy hat and black shirt, looking to the left with a serious expression, against a dark background.","Real portfolio photograph (live performance / portrait). A man wearing a black cowboy hat and black shirt, looking to the left with a serious expression, against a dark background.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC05490.jpg,austin-tyler-gallery-home-08.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/13ab1561-0987-41d2-9123-a18224f15c7d/DSC05490.jpg,"home,sereno",portfolio,"A person wearing a wide-brimmed hat, dark jacket, and tattoos on his arms, standing in a dark environment with minimal lighting highlighting his profile.","Real portfolio photograph (live performance / portrait). A person wearing a wide-brimmed hat, dark jacket, and tattoos on his arms, standing in a dark environment with minimal lighting highlighting his profile.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
White.jpg,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/71581ab6-1247-4470-8522-f8dd45f22a74/White.jpg,"services,videos",spacer/placeholder,,Plain white placeholder behind service cards / video page. Replace.,backgrounds,1,REMOVE,Plain white placeholder behind service cards / video page. Replace.
DSC07052.jpg,austin-tyler-product-live-startup-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/b3689c9d-8a7f-46ae-aa95-c66d634bc57d/DSC07052.jpg,"services,store",portfolio/service,LIVE START-UP,Real portfolio photo used on services/store. LIVE START-UP,product-images,8,KEEP,Real portfolio photo used on services/store.
DSC03326.jpg,austin-tyler-gallery-services-09.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/83810000-f811-4faf-aec3-e5326f1850fa/DSC03326.jpg,services,portfolio/service,,Real portfolio photo used on services/store.,gallery,8,KEEP,Real portfolio photo used on services/store.
2+%281+of+1%29.jpg,austin-tyler-gallery-services-10.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/9d9c1db9-78a6-48fb-86b8-a5a0f14cf9b6/2+%281+of+1%29.jpg,services,portfolio/service,,Real portfolio photo used on services/store.,gallery,8,KEEP,Real portfolio photo used on services/store.
DSC02668.jpg,austin-tyler-gallery-services-11.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/6172c5bc-2132-4da6-a8c6-0076acdebc3e/DSC02668.jpg,services,portfolio/service,,Real portfolio photo used on services/store.,gallery,8,KEEP,Real portfolio photo used on services/store.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e9118cf4-8d67-4ca2-a07c-789054a84301/Brian+Russell+Collins+Invoice.png,photos,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC09519.jpg,austin-tyler-gallery-photos-12.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/faa86232-6906-409d-8b6c-2ba88a8c4ff8/DSC09519.jpg,photos,portfolio,"A male country singer wearing a cowboy hat, colorful Hawaiian shirt, and jeans performing on stage with band members, bright yellow stage lights, and smoke effects.","Real portfolio photograph (live performance / portrait). A male country singer wearing a cowboy hat, colorful Hawaiian shirt, and jeans performing on stage with band members, bright yellow stage lights, and smoke effects.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC05222.jpg,austin-tyler-gallery-photos-13.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/62fbd509-bf70-4e5d-aaac-cd89e2aa2a5a/DSC05222.jpg,photos,portfolio,A man wearing a cap that says 'Southern' is playing an acoustic guitar and singing into a microphone on stage.,Real portfolio photograph (live performance / portrait). A man wearing a cap that says 'Southern' is playing an acoustic guitar and singing into a microphone on stage.,gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC07045.jpg,austin-tyler-gallery-photos-14.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/763c0108-0860-4a4a-9ab5-b1e80ded7cda/DSC07045.jpg,photos,portfolio,"A man with a beard wearing a cowboy hat and a patterned jacket playing acoustic guitar into a microphone, with two women sitting beside him, one with blonde hair and the other with blonde hair in waves, both also with microphones on stage with colorful stage lighting.","Real portfolio photograph (live performance / portrait). A man with a beard wearing a cowboy hat and a patterned jacket playing acoustic guitar into a microphone, with two women sitting beside him, one with blonde hair and the other with blonde hair in waves, both also with microphones on stage with colorful stage lighting.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC02699.jpg,austin-tyler-gallery-photos-15.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/80f1cba3-9381-49f2-97aa-7907a7f82dcf/DSC02699.jpg,photos,portfolio,"A live concert performance with a female singer and four male guitarists/band members on stage, illuminated by blue and purple stage lighting, with a backdrop displaying the words 'CATEGOR' and 'NASHVILLE'.","Real portfolio photograph (live performance / portrait). A live concert performance with a female singer and four male guitarists/band members on stage, illuminated by blue and purple stage lighting, with a backdrop displaying the words 'CATEGOR' and 'NASHVILLE'.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC01963.jpg,austin-tyler-gallery-photos-16.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/4dadd9a1-990c-4765-8e97-1c041c7fb854/DSC01963.jpg,photos,portfolio,"A woman with long blonde hair singing into a microphone on stage, wearing a pink floral dress. A man in a pink suit stands behind her, and there are framed portraits on the wall in the background, illuminated by pink and purple stage lights.","Real portfolio photograph (live performance / portrait). A woman with long blonde hair singing into a microphone on stage, wearing a pink floral dress. A man in a pink suit stands behind her, and there are framed portraits on the wall in the background, illuminated by pink and purple stage lights.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC06334.jpg,austin-tyler-gallery-photos-17.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/b99eeb7b-8e08-4a0a-ae8a-18d3cd92e023/DSC06334.jpg,photos,portfolio,A man playing guitar and singing into a microphone in a dimly lit bar with neon signs in the background.,Real portfolio photograph (live performance / portrait). A man playing guitar and singing into a microphone in a dimly lit bar with neon signs in the background.,gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC09366.jpg,austin-tyler-gallery-photos-18.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/0b380b74-b5de-4b84-96f9-270f40c7f115/DSC09366.jpg,photos,portfolio,"A woman singing on stage under blue lights, holding a microphone, wearing a denim vest, beige cargo pants, and a braided belt.","Real portfolio photograph (live performance / portrait). A woman singing on stage under blue lights, holding a microphone, wearing a denim vest, beige cargo pants, and a braided belt.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC07831-2.jpg,austin-tyler-gallery-photos-19.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/0aa92f35-007d-47ad-89be-14836a498c3a/DSC07831-2.jpg,photos,portfolio,"A man wearing a cap and cream-colored t-shirt performing on stage with a microphone, pointing with his hand.","Real portfolio photograph (live performance / portrait). A man wearing a cap and cream-colored t-shirt performing on stage with a microphone, pointing with his hand.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/2926314f-5c91-4f4a-87b3-976bdedc01b9/Brian+Russell+Collins+Invoice.png,photos,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC09103.jpg,austin-tyler-gallery-photos-20.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/757957d7-4a3e-40d6-ad3d-4251b75c9ea3/DSC09103.jpg,photos,portfolio,"A man sitting on a large horizontal tree branch in a lush green forest, looking contemplative.","Real portfolio photograph (live performance / portrait). A man sitting on a large horizontal tree branch in a lush green forest, looking contemplative.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC07066.jpg,austin-tyler-gallery-photos-21.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/73f71ee8-e310-4dbd-9ea6-26a5df698a51/DSC07066.jpg,photos,portfolio,"A woman with long red hair and tattoos on her arm sitting on a wooden kitchen counter, eating from a jar with a spoon, with a glass of red wine nearby. The kitchen has dark cabinets, a microwave, pendant lights, and a white brick backsplash.","Real portfolio photograph (live performance / portrait). A woman with long red hair and tattoos on her arm sitting on a wooden kitchen counter, eating from a jar with a spoon, with a glass of red wine nearby. The kitchen has dark cabinets, a microwave, pendant lights, and a white brick backsplash.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC05281.jpg,austin-tyler-gallery-photos-22.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/b810528d-1a06-448f-8aa4-5c175fc05ece/DSC05281.jpg,photos,portfolio,"A young man with tattoos, wearing a black tank top with a skull and mountain design, sunglasses, a black cap, and multiple wristbands, standing against a stone wall with his hands clasped together.","Real portfolio photograph (live performance / portrait). A young man with tattoos, wearing a black tank top with a skull and mountain design, sunglasses, a black cap, and multiple wristbands, standing against a stone wall with his hands clasped together.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
5+%2824+of+44%29.jpg,austin-tyler-gallery-photos-23.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/18781268-3ce2-4bed-b6f4-3188e2910bb6/5+%2824+of+44%29.jpg,photos,portfolio,"A man wearing a black cap, light gray hoodie, and denim jacket walking in a narrow alleyway with graffiti on the walls.","Real portfolio photograph (live performance / portrait). A man wearing a black cap, light gray hoodie, and denim jacket walking in a narrow alleyway with graffiti on the walls.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC02024.JPG,austin-tyler-gallery-photos-24.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/d4885d23-5a34-4814-b978-8b35675484ac/DSC02024.JPG,photos,portfolio,"A man stands on a dirt path by a lake, wearing a white graduation gown covered in colorful paint, holding books, with a graduation cap and sunglasses, surrounded by green trees and a cloudy sky.","Real portfolio photograph (live performance / portrait). A man stands on a dirt path by a lake, wearing a white graduation gown covered in colorful paint, holding books, with a graduation cap and sunglasses, surrounded by green trees and a cloudy sky.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC07976.jpg,austin-tyler-gallery-photos-25.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/77a44431-e19b-4892-b538-ff5c8759ea7f/DSC07976.jpg,photos,portfolio,"A woman with long hair wearing a wide-brimmed hat and an orange jacket, leaning over a vintage vehicle outdoors with a grassy field and cloudy sky in the background.","Real portfolio photograph (live performance / portrait). A woman with long hair wearing a wide-brimmed hat and an orange jacket, leaning over a vintage vehicle outdoors with a grassy field and cloudy sky in the background.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC00553.jpg,austin-tyler-gallery-photos-26.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/70f1e9f9-49bf-4626-95cb-f6a6926953f6/DSC00553.jpg,photos,portfolio,"Young woman sitting in garden surrounded by green and red plants, wearing a black wide-brimmed hat, a shiny black jacket, and a long floral dress, with a distressed brick wall in the background.","Real portfolio photograph (live performance / portrait). Young woman sitting in garden surrounded by green and red plants, wearing a black wide-brimmed hat, a shiny black jacket, and a long floral dress, with a distressed brick wall in the background.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/49b5b0de-c9bd-475e-8587-73007dbf013e/Brian+Russell+Collins+Invoice.png,information,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
IMG_6144.JPG,austin-tyler-team-filming-live-on-stage-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/cc1d35a5-8f44-4231-8151-446cf7bce4d2/IMG_6144.JPG,information,team/behind-scenes,A cameraman filming a musician playing guitar on stage during a live performance.,Austin/crew at work (portrait or filming). A cameraman filming a musician playing guitar on stage during a live performance.,team-photos,8,KEEP,Austin/crew at work (portrait or filming).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e44bacdf-8c7d-4025-94ae-d46420ddf5d7/Brian+Russell+Collins+Invoice.png,contact,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/5c5ad287-681f-4d2e-9c4f-5ab89e39f1c7/Brian+Russell+Collins+Invoice.png,ecosystem,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
The+Ecosystem.png,austin-tyler-ecosystem-banner-live-stage-orange-01.png,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/f22b841e-087d-4e28-b319-70d6e4f357fb/The+Ecosystem.png,ecosystem,banner,"Photograph of a music performance outdoors on a stage with bright orange lighting, featuring a singer in a white dress and a white hat, with a camera crew filming in the foreground and audience members in the front.","Real live-stage photo used as Ecosystem page banner. Usable elsewhere. Photograph of a music performance outdoors on a stage with bright orange lighting, featuring a singer in a white dress and a white hat, with a camera crew filming in the foreground and audience members in the front.",misc,7,KEEP,Real live-stage photo used as Ecosystem page banner. Usable elsewhere.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/a2446f52-e804-4f87-a9bc-e517944ce446/Brian+Russell+Collins+Invoice.png,ecosystem,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
imgg-demo-uJn12BIr.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/7945834c-cf45-4b6b-b1c5-7d1ddf73c711/imgg-demo-uJn12BIr.png,ecosystem,template-demo,"Person flipping through a large sketchbook or journal on a wooden table, with various textured material samples and small plates nearby.","STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work. Person flipping through a large sketchbook or journal on a wooden table, with various textured material samples and small plates nearby.",misc,1,REMOVE,STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/a890cc6a-161e-4524-a658-b7db331eb117/Brian+Russell+Collins+Invoice.png,ecosystem,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/d3f7bcbe-7183-4901-9d29-a229dce7912f/Brian+Russell+Collins+Invoice.png,ecosystem,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
imgg-demo-9d2jDe4u.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/60ce0be0-41c5-4cea-a0c3-03ee85dd0a41/imgg-demo-9d2jDe4u.png,ecosystem,template-demo,"A modern tabletop decor scene featuring a white spherical lamp on a wooden cylindrical stand, a terracotta bowl on top of a book, and a hand holding a fan of beige and cream-colored paint or fabric sample swatches on a black surface against a plain wall.","STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work. A modern tabletop decor scene featuring a white spherical lamp on a wooden cylindrical stand, a terracotta bowl on top of a book, and a hand holding a fan of beige and cream-colored paint or fabric sample swatches on a black surface against a plain wall.",misc,1,REMOVE,STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work.
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/980083da-7193-456b-8aa0-2b0bbb0a0029/Brian+Russell+Collins+Invoice.png,ecosystem,spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
imgg-demo-ZRjbSa11.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/5ec321c2af33de48734cc929/f64d269d-6648-4fff-8ded-3294bd99b0c4/imgg-demo-ZRjbSa11.png,ecosystem,template-demo,"Close-up of a wooden table with sample fabric swatches, a notepad with a pen, and plant vases in the background.","STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work. Close-up of a wooden table with sample fabric swatches, a notepad with a pen, and plant vases in the background.",misc,1,REMOVE,STOCK/DEMO image from Squarespace template (different site ID 5ec321c2). Not Austin's work.
Stocksy_comp_4338103-min.jpg,(not downloaded),https://images.squarespace-cdn.com/content/v1/635062e6a6b96b67e85bd255/c7c01795-ff47-4bf5-be2d-d7752fbb7f8f/Stocksy_comp_4338103-min.jpg,store,stock-photo,PHOTOSHOOT & VIDEOSHOOT,STOCK photo (Stocksy) used as product thumbnail. Not Austin's work. Replace with real shoot photo. PHOTOSHOOT & VIDEOSHOOT,product-images,2,REPLACE,STOCK photo (Stocksy) used as product thumbnail. Not Austin's work. Replace with real shoot photo.
DSC07408.jpg,austin-tyler-product-live-showcase-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/d8665fcb-abfd-4a50-8dd8-390bfed3d447/DSC07408.jpg,store,portfolio/service,LIVE SHOWCASE,Real portfolio photo used on services/store. LIVE SHOWCASE,product-images,8,KEEP,Real portfolio photo used on services/store.
Stocksy_comp_3880512-min.jpg,(not downloaded),https://images.squarespace-cdn.com/content/v1/635062e6a6b96b67e85bd255/be3dbf2b-31a2-4462-9427-a40ed2be2f6f/Stocksy_comp_3880512-min.jpg,store,stock-photo,PHOTO SHOOT,STOCK photo (Stocksy) used as product thumbnail. Not Austin's work. Replace with real shoot photo. PHOTO SHOOT,product-images,2,REPLACE,STOCK photo (Stocksy) used as product thumbnail. Not Austin's work. Replace with real shoot photo.
